Yves Montand
Gérard Depardieu
Daniel Auteuil
Elisabeth Depardieu
Margarita Lozano
Ernestine Bluteau
Armand Meffre
André Dupon
Pierre Nougaro
Jean Maurel
Roger Souza
Didier Pain
Pierre-Jean Rippert
Marc Betton
Clément Cal
Benedetto Bertino
Marcel Champel
Chantal Liennel
Fransined
Marcel Berbert
Christian Tamisier
Jo Doumerg
