Aldo Baglio
Giovanni Storti
Giacomo Poretti
Marina Massironi
Carlo Croccolo
Maria Pia Casilio
Luciana Littizzetto
Gaetano Amato
Margherita Antonelli
Saturno Brioschi
Giorgio Centamore
Mohamed El Sayed
Cesare Gallarini
Eleonora Mazzoni
Rosalina Neri
Vittoria Piancastelli
Rodolfo Rezzoli
Stefano Rossetti
Antonio Rucco
Augusto Zucchi
Roberto Mannino
