Dennis Price
Valerie Hobson
Joan Greenwood
Alec Guinness
Audrey Fildes
Miles Malleson
Clive Morton
John Penrose
Cecil Ramage
Hugh Griffith
John Salew
Eric Messiter
Lyn Evans
Barbara Leake
Peggy Ann Clifford
Anne Valery
Arthur Lowe
Peter Gawthorne
Molly Hamley-Clifford
Leslie Handford
Cavan Malone
Jeremy Spenser
Carol White
Laurence Naismith
Gordon Phillott
Richard Wattis
Harold Young
