Lamberto Maggiorani
Enzo Staiola
Lianella Carell
Elena Altieri
Gino Saltamerenda
Giulio Chiari
Vittorio Antonucci
Michele Sakara
Fausto Guerzoni
Carlo Jachino
Emma Druetti
Giulio Battiferri
Sergio Leone
Mario Meniconi
Checco Rissone
Peppino Spadaro
Nando Bruno
Eolo Capritti
Memmo Carotenuto
Umberto Spadaro
