Jeanne Moreau
Oskar Werner
Henri Serre
Marie Dubois
Sabine Haudepin
Vanna Urbino
Serge Rezvani
Anny Nelsen
Michel Subor
Danielle Bassiak
Elen Bober
Pierre Fabre
Dominique Lacarrière
Bernard Largemains
Kate Noelle
Jean-Louis Richard
Michel Varesano
Christiane Wagner
