Anthony Perkins
Jeanne Moreau
Romy Schneider
Orson Welles
Akim Tamiroff
Elsa Martinelli
Suzanne Flon
Madeleine Robinson
Max Haufler
Max Buchsbaum
Arnoldo Foà
Jess Hahn
Billy Kearns
Maurice Teynac
Naydra Shore
Raoul Delfosse
Jean-Claude Rémoleux
Carl Studer
Fernand Ledoux
Thomas Holtzmann
Wolfgang Reichmann
William Chappell
Michael Lonsdale
