Michel Constantin
Jean Keraudy
Philippe Leroy
Raymond Meunier
Marc Michel
Jean-Paul Coquelin
André Bervil
Eddy Rasimi
Philippe Dumat
Albert Augier
Jean Becker
Raymond Bour
Lucien Camiret
Durieu
Gérard Hernandez
Jean Luisi
Jean Minisini
Paul Pavel
Paul Préboist
Marcel Rouzé
Catherine Spaak
Dominique Zardi
