Dustin Hoffman
Meryl Streep
Jane Alexander
Justin Henry
Howard Duff
George Coe
JoBeth Williams
Bill Moor
Howland Chamberlain
Jack Ramage
Jess Osuna
Nicholas Hormann
Ellen Parker
Shelby Brammer
Carol Nadell
Donald Gantry
Joe Seneca
David Golden
Sean Albertson
Iris Klein
