Spencer Tracy
Sidney Poitier
Katharine Hepburn
Katharine Houghton
Cecil Kellaway
Beah Richards
Roy Glenn
Isabel Sanford
Virginia Christine
Alexandra Hay
Barbara Randolph
D'Urville Martin
Tom Heaton
Grace Gaynor
Skip Martin
John Hudkins
Natalie Core
Timothy Scott
Jacqueline Fontaine
June Whitley Taylor
