Clark Gable
Claudette Colbert
Walter Connolly
Roscoe Karns
Jameson Thomas
Alan Hale
Arthur Hoyt
Blanche Friderici
Charles C. Wilson
Irving Bacon
Ward Bond
James Burke
Ray Cooke
Joseph Crehan
Mickey Daniels
Bess Flowers
Milton Kibbee
Claire McDowell
Dolores Fuller
Wallis Clark
