Junko Takeuchi
Nana Mizuki
Jun Fukuyama
Chie Nakamura
Showtaro Morikubo
Kazuhiko Inoue
Akira Ishida
Hideaki Tezuka
Yurika Hino
Tomomichi Nishimura
Hisao Egawa
Masako Katsuki
Keiko Nemoto
Masashi Ebara
Ikue Otani
Satoshi Hino
Noriaki Sugiyama
Troy Baker
Steve Blum
Patrick Seitz
