Roy Scheider
Richard Dreyfuss
Robert Shaw
Lorraine Gary
Murray Hamilton
Jay Mello
Chris Rebello
Jeffrey Kramer
Lee Fierro
Jeffrey Voorhees
Carl Gottlieb
Craig Kingsbury
Susan Backlinie
Jonathan Filley
Robert Nevin
Ted Grossman
Peter Benchley
Belle McDonald
Dorothy Fielding
Fritzi Jane Courtney
David Engelbach
Joseph Oliveira
Beverly Powers
Ayn Ruymen
Christopher Sands
Rex Trailer
Denise Cheshire
Steven Spielberg
Phil Murray
Joe La Creta
