Clint Eastwood
Verna Bloom
Marianna Hill
Mitchell Ryan
Jack Ging
Stefan Gierasch
Ted Hartley
Billy Curtis
Geoffrey Lewis
Scott Walker
Walter Barnes
Paul Brinegar
Richard Bull
Robert Donner
John Hillerman
John Quade
John Mitchum
Belle Mitchell
Dan Vadis
Anthony James
Russ McCubbin
William O'Connell
Reid Cruickshanks
Jim Gosa
Jane Aull
Carl Pitti
Buddy Van Horn
