Julie Andrews
Christopher Plummer
Eleanor Parker
Richard Haydn
Charmian Carr
Nicholas Hammond
Heather Menzies
Duane Chase
Angela Cartwright
Debbie Turner
Kym Karath
Peggy Wood
Anna Lee
Portia Nelson
Ben Wright
Daniel Truhitte
Norma Varden
Marni Nixon
Gilchrist Stuart
Evadne Baker
Doris Lloyd
Ada Beth Lee
Doreen Tryden
Bert Stevens
Gertrude Astor
Frank Baker
Bill Lee
Margery MacKay
Leoda Richards
