Meiko Kaji
Toshio Kurosawa
Masaaki Daimon
Miyoko Akaza
Shinichi Uchida
Takeo Chii
Noboru Nakaya
Yoshiko Nakada
Akemi Negishi
Kaoru Kusuda
Mayumi Maemura
Eiji Okada
Kō Nishimura
Sanae Nakahara
Hōsei Komatsu
Makoto Matsuzaki
Hiroshi Hasegawa
Takehiko Ono
Hitoshi Takagi
Kenji Ôkura
Ichiro Kijima
Shôichi Hirose
Kai Atō
