Alain Delon
Bourvil
Gian Maria Volonté
Yves Montand
Paul Crauchet
François Périer
André Ekyan
Paul Amiot
Pierre Collet
Jean-Pierre Posier
Yves Arcanel
René Berthier
Anna Douking
Jean-Marc Boris
Robert Favart
Jean Franval
Jean Champion
Yvan Chiffre
Roger Fradet
Jean-Pierre Janic
Edouard Francomme
Jacques Galland
Jacques Léonard
Jacques Leroy
Jean Pignol
Robert Rondo
Stéphanie Fugain
Guy Henry
