Gian Maria Volonté
Florinda Bolkan
Gianni Santuccio
Orazio Orlando
Sergio Tramonti
Arturo Dominici
Aldo Rendine
Massimo Foschi
Aleka Paizi
Vittorio Duse
Pino Patti
Salvo Randone
Fulvio Grimaldi
Giuseppe Licastro
Filippo De Gara
Ugo Adinolfi
Franco Marletta
Giacomo Bellini
Giuseppe Terranova
Vincenzo Falanga
Roberto Bonanni
Guido Buzzelli
Gino Usai
