Libuše Šafránková
Pavel Trávníček
Carola Braunbock
Rolf Hoppe
Karin Lesch
Dana Hlaváčová
Jan Libíček
Vítězslav Jandák
Jaroslav Drbohlav
Vladimír Menšík
Míla Myslíková
Helena Růžičková
Jan Sůs
Miloš Vavruška
Jiří Růžička
Jiří Krytinář
Ilona Jirotková
Holger Eckert
Ostara Körner
Erika Stiska
