Melvil Poupaud
Suzanne Clément
Nathalie Baye
Vincent Davy
Monia Chokri
Yves Jacques
Anne Dorval
Sophie Faucher
Mylène Jampanoï
Susan Almgren
Magalie Lépine-Blondeau
David Savard
Antoine-Olivier Pilon
Éric Bruneau
Catherine Bégin
Emmanuel Schwartz
Jacques Lavallée
Perrette Souplex
Patricia Tulasne
Manuel Tadros
Denise Filiatrault
Monique Spaziani
Violette Chauveau
Xavier Dolan
