Elliott Gould
Nina van Pallandt
Sterling Hayden
Mark Rydell
Henry Gibson
David Arkin
Jim Bouton
Warren Berlinger
Jo Ann Brody
Stephen Coit
Jack Knight
Pepe Callahan
Vincent Palmieri
Pancho Córdova
Enrique Lucero
Rutanya Alda
Tammy Shaw
Jack Riley
Ken Sansom
Jerry Jones
John Davies
Rodney Moss
Sybil Scotford
Herb Kerns
Robert Altman
David Carradine
Carl Gottlieb
Arnold Schwarzenegger
George Wyner
