Cary Grant
Audrey Hepburn
Walter Matthau
James Coburn
George Kennedy
Dominique Minot
Ned Glass
Jacques Marin
Paul Bonifas
Thomas Chelimsky
Marc Arian
Claudine Berg
Marcel Bernier
Albert Daumergue
Raoul Delfosse
Stanley Donen
Jean Gold
Chantal Goya
Clément Harari
Monte Landis
Bernard Musson
Antonio Passalia
Jacques Préboist
Peter Stone
Michel Thomass
Roger Trapp
Louis Viret
