Margaret Sullavan
James Stewart
Frank Morgan
Joseph Schildkraut
Sara Haden
Felix Bressart
William Tracy
Inez Courtney
Sarah Edwards
Edwin Maxwell
Charles Halton
Charles Smith
Charles Arnt
Joan Blair
Mary Carr
Mabel Colcord
Claire Du Brey
William Edmunds
Grace Hayle
Mira McKinney
Sol Murgi
Renie Riano
Gertrude Simpson
Ruth Warren
