Kouichi Yamadera
Emi Shinohara
Takeshi Aono
Daisuke Gouri
Toshihiko Seki
Shûichirô Moriyama
Gara Takashima
Junichi Sugawara
Masako Katsuki
Norio Wakamoto
Reizō Nomoto
Ryuuzaburou Ootomo
Akitoshi Ohmori
Ichirō Nagai
Jouji Nakata
Katsuji Mori
Katsumi Suzuki
Osamu Saka
Yūsaku Yara
