Colin Clive
Mae Clarke
John Boles
Boris Karloff
Edward Van Sloan
Frederick Kerr
Dwight Frye
Lionel Belmore
Marilyn Harris
Ted Billings
Mae Bruce
Jack Curtis
Arletta Duncan
William Dyer
Francis Ford
Soledad Jiménez
Carmencita Johnson
Sessel Anne Johnson
Margaret Mann
Michael Mark
Pauline Moore
Inez Palange
Paul Panzer
Cecilia Parker
Rose Plumer
Cecil Reynolds
Ellinor Vanderveer
