Cary Grant
Katharine Hepburn
James Stewart
Ruth Hussey
John Howard
Roland Young
John Halliday
Mary Nash
Virginia Weidler
Henry Daniell
Lionel Pape
Rex Evans
King Baggot
Hillary Brooke
Veda Buckland
Lita Chevret
Russ Clark
David Clyde
Robert De Bruce
Dorothy Fay
Claude King
Eric Mayne
Florine McKinney
Lee Phelps
Hilda Plowright
Helene Reynolds
Mildred Shay
Joseph Sweeney
