Thierry Lhermitte
Jacques Villeret
Francis Huster
Daniel Prévost
Alexandra Vandernoot
Catherine Frot
Edgar Givry
Christian Pereira
Benoît Bellal
Jacques Bleu
Philippe Brigaud
Michel Caccia
Laurent Gendron
Pétronille Moss
Pierre-Arnaud Juin
Daniel Martin
Elvire Melliere
Rémy Roubakha
Candide Sanchez
