Dustin Hoffman
Faye Dunaway
Chief Dan George
Martin Balsam
Richard Mulligan
Jeff Corey
Aimée Eccles
William Hickey
Alan Oppenheimer
Lou Cutell
M. Emmet Walsh
James Anderson
Jesse Vint
Thayer David
Philip Kenneally
Jack Bannon
Ray Dimas
Alan Howard
Jack Mullaney
Steve Miranda
Ken Mayer
