Gregory Peck
Robert Mitchum
Polly Bergen
Lori Martin
Martin Balsam
Telly Savalas
Barrie Chase
Paul Comi
John McKee
Page Slattery
Ward Ramsey
Edward Platt
Will Wright
Joan Staley
Cindy Carol
Jack Kruschen
Mack Williams
Alan Reynolds
Herb Armstrong
Allan Ray
Paul Levitt
Kenner G. Kemp
Bob Noble
Jeffrey Sayre
Hal Taggart
Alan Wells
