Chishū Ryū
Chieko Higashiyama
Setsuko Hara
Haruko Sugimura
Sō Yamamura
Kuniko Miyake
Kyōko Kagawa
Eijirō Tōno
Nobuo Nakamura
Shirō Ōsaka
Hisao Toake
Teruko Nagaoka
Mutsuko Sakura
Toyo Takahashi
Tōru Abe
Sachiko Mitani
Ryōko Mizuki
Keijirô Morozumi
Shozo Suzuki
Haruko Chichibu
Takashi Miki
Toshinosuke Nagao
Zen Murase
Mitsuhiro Môri
Yoshiko Togawa
Fumio Tooyama
