Gregory Peck
Audrey Hepburn
Eddie Albert
Hartley Power
Harcourt Williams
Margaret Rawlings
Tullio Carminati
Paolo Carlini
Claudio Ermelli
Paola Borboni
Alfredo Rizzo
Laura Solari
Gorella Gori
Armando Annuale
Maurizio Arena
Gildo Bocci
Andrea Esterhazy
George Higgins
Richard McNamara
Luigi Moneta
Piero Pastore
Mimmo Poli
Giuliano Raffaelli
Carlo Rizzo
Gianna Segale
Dianora Veiga
Marco Tulli
Tania Weber
Catherine Wyler
