Carlo Verdone
Luis Sepúlveda
Antonio Albanese
Melba Ruffo
Sofia Baratta
Veronica Puccio
Domitilla D'Amico
Margherita Birri
Gabriele Patriarca
Luca Biagini
Paolo Lombardi
Valerio Ruggeri
Paola Tedesco
Alida Milana
Fabrizio Vidale
Massimo Lodolo
Roberto Stocchi
Roberto Ciufoli
Renata Biserni
Luigi Ferraro
