Chishū Ryū
Setsuko Hara
Yumeji Tsukioka
Haruko Sugimura
Hohi Aoki
Jun Usami
Kuniko Miyake
Masao Mishima
Yoshiko Tsubouchi
Yôko Katsuragi
Toyo Takahashi
Jun Tanizaki
Ichirô Shimizu
Youko Benisawa
Manzaburo Umewaka
Nobu Nojima
Ichiro Kitamura
Haruo Yasufuku
Tadaichi Aoki
Seiju Kanze
Shintaro Umewaka
Shizuo Kanze
Seiji Toda
Kozo Fukuda
Shinichiro Takayama
Seinosuke Ishida
Yutaka Aoki
Kinzo Hasegawa
Gazan Hasegawa
Mikuma Shimada
