Joseph Cotten
Alida Valli
Orson Welles
Trevor Howard
Paul Hörbiger
Ernst Deutsch
Erich Ponto
Siegfried Breuer
Hedwig Bleibtreu
Bernard Lee
Wilfrid Hyde-White
Alexis Chesnakov
Thomas Gallagher
Herbert Halbik
Hannah Norbert
Eric Pohlmann
Carol Reed
Annie Rosar
Frederick Schrecker
Hugo Schuster
Karl Stepanek
Theodore Gottlieb
Jenny Werner
