Peter Lorre
Ellen Widmann
Inge Landgut
Otto Wernicke
Theodor Loos
Gustaf Gründgens
Friedrich Gnaß
Fritz Odemar
Paul Kemp
Theo Lingen
Rudolf Blümner
Georg John
Franz Stein
Ernst Stahl-Nachbaur
Gerhard Bienert
Karl Platen
Rosa Valetti
Hertha von Walther
Carl Ballhaus
