Junko Iwao
Rica Matsumoto
Shinpachi Tsuji
Masaaki Ōkura
Yōsuke Akimoto
Yoku Shioya
Hideyuki Hori
Emi Shinohara
Kiyoyuki Yanada
Tōru Furusawa
Shiho Niiyama
Emiko Furukawa
Aya Hara
Shin-ichiro Miki
Megumi Tano
Akio Suyama
Osamu Hosoi
Kōichi Tōchika
Emi Motoi
Kisho Taniyama
Shokkâ Ôno
Rofuto Purasu Wan Burazâzu
Makoto Kitano
Soichiro Hoshi
Masashi Ebara
