Dev Patel
Rooney Mara
David Wenham
Nicole Kidman
Abhishek Bharate
Divian Ladwa
Priyanka Bose
Deepti Naval
Tannishtha Chatterjee
Nawazuddin Siddiqui
Sunny Pawar
Keshav Jadhav
Benjamin Rigby
Riddhi Sen
Rita Boy
Arka Das
Emilie Cocquerel
Sachin Joab
Menik Gooneratne
Anna Samson
Eamon Farren
Tegan Crowley
Belinda Misevski
Lucy Moir
