Catherine Deneuve
Jean Sorel
Michel Piccoli
Geneviève Page
Pierre Clémenti
Françoise Fabian
Macha Méril
Muni
Maria Latour
Claude Cerval
Michel Charrel
Iska Khan
Bernard Musson
Marcel Charvey
François Maistre
Francisco Rabal
Georges Marchal
Francis Blanche
Luis Buñuel
Marc Eyraud
Bernard Fresson
