Roman Polanski
Isabelle Adjani
Melvyn Douglas
Bernard Fresson
Shelley Winters
Gérard Jugnot
Josiane Balasko
Raoul Guylad
Lila Kedrova
Jo Van Fleet
Claude Piéplu
Rufus
Romain Bouteille
Jacques Monod
Patrice Alexsandre
Jean-Pierre Bagot
Jacky Cohen
Bernard-Pierre Donnadieu
André Penvern
Albert Delpy
Louba Guertchikoff
Claude Dauphin
Éva Ionesco
Maïté Nahyr
Florence Blot
