Robert Armstrong
Fay Wray
Bruce Cabot
Frank Reicher
Victor Wong
James Flavin
Sam Hardy
Noble Johnson
Steve Clemente
Roscoe Ates
Merian C. Cooper
Frances Curry
Paul Porcasi
Ernest B. Schoedsack
Harry Strang
Bill Williams
Dick Curtis
Reginald Barlow
Roy Brent
Edward Clark
Harry Cornbleth
James Dime
Charlie Hall
Allen Jenkins
George Magrill
John Northpole
Gil Perkins
Jack Perry
Harry Tenbrook
Sailor Vincent
Blackie Whiteford
