Lino Ventura
Paul Meurisse
Jean-Pierre Cassel
Simone Signoret
Claude Mann
Paul Crauchet
Christian Barbier
Serge Reggiani
Alain Dekok
Alain Mottet
Alain Libolt
Jean-Marie Robain
Albert Michel
Denis Sadier
Georges Sellier
Marco Perrin
Hubert de Lapparent
Colin Mann
Anthony Stuart
Gérard-Antoine Huart
Percival Russel
Michel Dacquin
Jeanne Pérez
Pierre Vaudier
Jacques Marbeuf
Marcel Bernier
Gaston Meunier
Nathalie Delon
Jacques Léonard
