Audrey Hepburn
Rex Harrison
Stanley Holloway
Wilfrid Hyde-White
Gladys Cooper
Jeremy Brett
Theodore Bikel
Mona Washbourne
Isobel Elsom
John Holland
Colin Kenny
Bert Stevens
Frank Baker
Marjorie Bennett
Betty Blythe
Arthur Tovey
Marni Nixon
Al Bain
William Beckley
Lillian Kemble-Cooper
Henry Daniell
Brendan Dillon
