Gael García Bernal
Vanessa Bauche
Goya Toledo
Álvaro Guerrero
Emilio Echevarría
Jorge Salinas
Rodrigo Murray
Humberto Busto
Gerardo Campbell
Rosa María Bianchi
Dunia Saldívar
Adriana Barraza
José Sefami
Lourdes Echevarría
Marco Pérez
Laura Almela
Gustavo Sánchez Parra
Dagoberto Gama
Rodrigo Ostap
Patricio Castillo
Roberto Medina
Carlos Samperio
Mauricio Martínez
Ricardo Dalmacci
Gustavo Muñoz
