Stephen Baldwin
Kevin Spacey
Gabriel Byrne
Chazz Palminteri
Kevin Pollak
Pete Postlethwaite
Suzy Amis
Giancarlo Esposito
Benicio del Toro
Dan Hedaya
Paul Bartel
Carl Bressler
Christine Estabrook
Clark Gregg
Morgan Hunter
Louis Lombardi
Frank Medrano
Ron Gilbert
Peter Greene
Castulo Guerra
Vito D'Ambrosio
Gene Lythgow
Smadar Hanson
Christopher McQuarrie
