Alberto Sordi
Vittorio Gassman
Bernard Blier
Folco Lulli
Vittorio Sanipoli
Romolo Valli
Mario Valdemarin
Nicola Arigliano
Livio Lorenzon
Tiberio Mitri
Carlo D'Angelo
Tiberio Murgia
Marcello Giorda
Achille Compagnoni
Geronimo Meynier
Elsa Vazzoler
Ferruccio Amendola
Guido Celano
Luigi Fainelli
Gérard Herter
Silvana Mangano
Mario Feliciani
Gianni Baghino
Mario Colli
Mario Frera
Mario Mazza
Gian Luigi Polidoro
Edda Ferronao
Leandro Punturi
