Keira Knightley
Talulah Riley
Rosamund Pike
Jena Malone
Carey Mulligan
Donald Sutherland
Brenda Blethyn
Claudie Blakley
Sylvester Morand
Simon Woods
Kelly Reilly
Matthew Macfadyen
Pip Torrens
Janet Whiteside
Sinéad Matthews
Roy Holder
Rupert Friend
Tom Hollander
Jay Simpson
Judi Dench
Rosamund Stephen
Samantha Bloom
Cornelius Booth
Penelope Wilton
Peter Wight
Meg Wynn Owen
Tamzin Merchant
Moya Brady
Mark Arends
Bret Jones
Liam Thomas
