Kotaro Daigo
Nana Mori
Tsubasa Honda
Sakura Kiryu
Sei Hiraizumi
Yuki Kaji
Chieko Baisho
Shun Oguri
Sumi Shimamoto
Ryohei Kimura
Kana Hanazawa
Ayane Sakura
Kana Ichinose
Masako Nozawa
Hidekatsu Shibata
Ryunosuke Kamiki
Mone Kamishiraishi
Ryō Narita
Aoi Yuki
Kanon Tani
