Keiko Yokozawa
Mayumi Tanaka
Minori Terada
Kotoe Hatsui
Fujio Tokita
Ichirō Nagai
Hiroshi Ito
Machiko Washio
Takumi Kamiyama
Yoshito Yasuhara
Sukekiyo Kameyama
Eken Mine
Tarako
Masashi Sugawara
Reiko Suzuki
Toshihiko Seki
Hōchū Ōtsuka
Megumi Hayashibara
Tomomichi Nishimura
