Fred MacMurray
Barbara Stanwyck
Edward G. Robinson
Porter Hall
Richard Gaines
Jean Heather
Tom Powers
Fortunio Bonanova
Byron Barr
John Berry
Raymond Chandler
Edmund Cobb
Kernan Cripps
Bess Flowers
Eddie Hall
Teala Loring
Sam McDaniel
Billy Mitchell
Clarence Muse
Douglas Spencer
John Philliber
Harold Garrison
James Adamson
Betty Farrington
George Magrill
Constance Purdy
Dick Rush
Floyd Shackelford
Oscar Smith
Miriam Nelson
