David Spade
Lauren Lapkus
Candace Smith
Sarah Chalke
Molly Sims
Geoff Pierson
Nick Swardson
Jackie Sandler
Chris Witaske
Vanilla Ice
John Farley
Lori Pelenise Tuisano
Rob Schneider
Leati Joseph Anoa'i
Bobby Lee
Jorge Garcia
Jonathan Loughran
Chris Titone
Sadie Sandler
Allen Covert
Jared Sandler
