Asa Butterfield
Jack Scanlon
Vera Farmiga
David Thewlis
Rupert Friend
David Hayman
Sheila Hancock
Cara Horgan
Richard Johnson
Amber Beattie
Zac Mattoon O'Brien
Charlie Baker
Jim Norton
Domonkos Németh
Henry Kingsmill
Zsuzsa Holl
László Áron
Iván Verebély
Béla Fesztbaum
Mihály Szabados
Zsolt Sáfár Kovács
Gábor Harsai
Julia Papp
László Nádasi
László Quitt
