Giulietta Masina
François Périer
Franca Marzi
Amedeo Nazzari
Aldo Silvani
Dorian Gray
Ennio Girolami
Mario Passante
Franco Balducci
Ciccio Barbi
Luciano Bonanni
Leo Catozzo
Mimmo Poli
Dominique Delouche
Franco Fabrizi
Sandro Moretti
Polidor
María Luisa Rolando
Gianni Baghino
Riccardo Fellini
Amedeo Girardi
Nino Milano
Sergio Parlato
