Bette Davis
Anne Baxter
George Sanders
Celeste Holm
Gary Merrill
Hugh Marlowe
Gregory Ratoff
Thelma Ritter
Marilyn Monroe
Barbara Bates
Walter Hampden
Randy Stuart
Craig Hill
Leland Harris
Barbara White
William Pullen
Claude Stroud
Eugene Borden
Helen Mowery
Steven Geray
Bess Flowers
Colin Kenny
Harold Miller
Frank Baker
Franklyn Farnum
William H. O'Brien
