Dan Castellaneta
Julie Kavner
Nancy Cartwright
Yeardley Smith
Hank Azaria
Harry Shearer
Pamela Hayden
Tress MacNeille
Albert Brooks
Marcia Wallace
Joe Mantegna
Tom Hanks
Billie Joe Armstrong
Mike Dirnt
Tre Cool
Russi Taylor
Karl Wiedergott
Maggie Roswell
Philip Rosenthal
