Margaret Lockwood
Michael Redgrave
May Whitty
Paul Lukas
Basil Radford
Naunton Wayne
Cecil Parker
Linden Travers
Mary Clare
Emile Boreo
Googie Withers
Sally Stewart
Philip Leaver
Selma Vaz Dias
Catherine Lacey
Josephine Wilson
Charles Oliver
Kathleen Tremaine
Ernest Blyth
Alfred Hitchcock
Roy Russell
