Cary Elwes
Robin Wright
Mandy Patinkin
André Roussimoff
Chris Sarandon
Christopher Guest
Wallace Shawn
Peter Falk
Billy Crystal
Fred Savage
Carol Kane
Mel Smith
Peter Cook
Margery Mason
Willy DeVille
Mark Knopfler
Guy Fletcher
Willoughby Gray
Betsy Brantley
Anne Dyson
Malcolm Storry
Paul Badger
Errol Bennett
Mickey Feat
Jamie Lane
Sallie McLaughlin
Derek Pykett
