Jacqueline Bisset
Jean-Pierre Léaud
Jean-Pierre Aumont
Valentina Cortese
Dani
Alexandra Stewart
François Truffaut
Jean Champion
Niké Arrighi
David Markham
Bernard Ménez
Jean-François Stévenin
Walter Bal
Gaston Joly
Zénaïde Rossi
Pierre Zucca
Marc Boyle
Marcel Berbert
Xavier Saint-Macary
Nathalie Baye
Maurice Seveno
Graham Greene
