Sidney Poitier
Rod Steiger
Warren Oates
Lee Grant
Larry Gates
James Patterson
William Schallert
Beah Richards
Peter Whitney
Kermit Murdock
Larry D. Mann
Matt Clark
Arthur Malet
Fred Stewart
Quentin Dean
Scott Wilson
Anthony James
Timothy Scott
William Watson
Eldon Quick
Stuart Nisbet
Khalil Bezaleel
Peter Masterson
Jester Hairston
Phil Adams
Nikita Knatz
Sam Reese
Alan Oppenheimer
Clegg Hoyt
