Gene Kelly
Donald O'Connor
Debbie Reynolds
Jean Hagen
Millard Mitchell
Cyd Charisse
Douglas Fowley
Rita Moreno
Mae Clarke
Bess Flowers
Robert Foulk
Kathleen Freeman
Joi Lansing
Sylvia Lewis
'Snub' Pollard
William Schallert
Elaine Stewart
Brick Sullivan
John George
King Donovan
Lana Turner
Allen Sutherland
