Tate Donovan
Josh Keaton
Roger Bart
Danny DeVito
James Woods
Susan Egan
Bobcat Goldthwait
Matt Frewer
Rip Torn
Samantha Eggar
Barbara Barrie
Hal Holbrook
Paul Shaffer
Amanda Plummer
Carole Shelley
Paddi Edwards
Charlton Heston
Lillias White
Cheryl Freeman
LaChanze
Roz Ryan
Jim Cummings
Keith David
Wayne Knight
Sherry Lynn
Mickie McGowan
Jack Angel
Debi Derryberry
