Jean-Pierre Léaud
Claire Maurier
Albert Rémy
Georges Flamant
Patrick Auffay
Robert Beauvais
Yvonne Claudie
Pierre Repp
Guy Decomble
Daniel Couturier
François Nocher
Richard Kanayan
Renaud Fontanarosa
Michel Girard
Serge Moati
Bernard Abbou
Jean-François Bergouignan
Michel Lesignor
Jean-Claude Brialy
Jeanne Moreau
Philippe de Broca
François Truffaut
Jacques Demy
Bouchon
