Audrey Hepburn
George Peppard
Patricia Neal
Buddy Ebsen
Martin Balsam
José Luis de Villalonga
John McGiver
Alan Reed
Dorothy Whitney
Beverly Powers
Stanley Adams
Claude Stroud
Elvia Allman
Mickey Rooney
Charles Sherlock
Miriam Nelson
Mel Blanc
Joe Scott
Jim Michael
