Josh Hartnett
Bruce Willis
Mykelti Williamson
Lucy Liu
Morgan Freeman
Ben Kingsley
Peter Outerbridge
Stanley Tucci
Michael Rubenfeld
Kevin Chamberlin
Dorian Missick
Scott Gibson
Corey Stoll
Robert Forster
Sam Jaeger
Danny Aiello
Jennifer Miller
Janet Lane
Oliver Davis
Sebastien Roberts
Darren Marsman
Gerry Mendicino
Matthew G. Taylor
