Moira Shearer
Adolf Wohlbrück
Marius Goring
Léonide Massine
Robert Helpmann
Albert Bassermann
Esmond Knight
Ludmilla Tchérina
Jean Short
Gordon Littmann
Julia Lang
Bill Shine
Austin Trevor
Eric Berry
Irene Browne
Jerry Verno
Derek Elphinstone
Marie Rambert
Joy Rawlins
Marcel Poncin
Michel Bazalgette
