Simone Signoret
Véra Clouzot
Paul Meurisse
Charles Vanel
Pierre Larquey
Michel Serrault
Jean Brochard
Noël Roquevert
Georges Chamarat
Thérèse Dorny
Jean Témerson
Jacques Hilling
Robert Dalban
Jacques Varennes
Yves-Marie Maurin
Georges Poujouly
Jean Lefebvre
Camille Guérini
Madeleine Suffel
Henri Coutet
Henri Humbert
Michel Dumur
Jean-Pierre Bonnefous
Jean Clarieux
Christian Brocard
Johnny Hallyday
Jimmy Urbain
Zappy Max
